,Col 1
44,"Workout 17.3; *Prior to 8:00, complete:  3 rounds of:  6 chest-to-bar pull-ups  6 squat snatches, (95 / 65 lb.)  Then, 3 rounds of:  7 chest-to-bar pull-ups  5 squat snatches (135 / 95 lb.)  *Prior to 12:00, 3 rounds of:  8 chest-to-bar pull-ups  4 squat snatches (185 / 135 lb.)  *Prior to 16:00, 3 rounds of:  9 chest-to-bar pull-ups  3 squat snatches (225 / 155 lb.)  *Prior to 20:00, 3 rounds of:  10 chest-to-bar pull-ups  2 squat snatches (245 / 175 lb.)  Prior to 24:00, 3 rounds of:  11 chest-to-bar pull-ups  1 squat snatch (265 / 185 lb.); *If all reps are completed, time cap extends by 4 minutes.; Post rounds/reps completed to comments and/or submit your score as part of the 2017 Reebok CrossFit Games Open."
45,3 rounds for time of:  Run 800 meters  Rest 2 minutes; Post time to comments.; Compare to 140326.
46,Deadlift 5-5-3-3-3-1-1-1-1 reps; Post loads to comments.; Compare to 160508.
47,"Rest Day; ""The Brain Can Produce Its Own Sugar: Report,"" U.S. News.; Post thoughts to comments."
48,4 rounds for time of:  15 ring dips  30 GHD sit-ups  Run 400 meters; Post time to comments.
49,"5 rounds for time of:  100-foot handstand walk  30 one-legged squats, alternating; Post time to comments.; Compare to 150228."
50,"Rest Day; ""From mother to baby: 'Secondhand sugars' can pass through breast milk,"" ScienceDaily.; Post thoughts to comments."
51,"Workout 17.2; Complete as many rounds and reps as possible in 12 minutes of:; 2 rounds of:  50-ft. weighted walking lunge  16 toes-to-bars  8 power cleans  Then, 2 rounds of:  50-ft. weighted walking lunge  16 bar muscle-ups  8 power cleans; Etc., alternating between toes-to-bars and bar muscle-ups every 2 rounds.; Men use 50-lb. dumbbells  Women use 35-lb. dumbbells; Post rounds/reps completed to comments and/or submit your score as part of the 2017 Reebok CrossFit Games Open."
52,Overhead squat 3-3-3-3-3 reps; Post loads to comments.; Compare to 160829.
53,5 rounds of:  5 minutes of rowing  5 minutes of rest; Post distance rowed for each interval to comments.; Compare to 150713.
54,"Complete as many rounds as possible in 7 minutes of:  135-lb. power cleans, 10 reps  20 push-ups; Post rounds completed to comments."
55,"Rest Day; ""Leaked emails reveal largest group of dietitians wants to hide ties to Big Soda,"" Food.mic.; Post thoughts to comments."
56,"Complete as many rounds as possible in 12 minutes of:  15-ft. rope climbs, 3 ascents  135-lb. push presses, 12 reps  50 double-unders; Post rounds completed to comments."
57,Front squat 5-5-3-3-3-1-1-1-1-1 reps  Run 1 mile; Post loads and mile time to comments.; Compare to 020828.
58,Workout 17.1; For time:  10 dumbbell snatches  15 burpee box jump-overs  20 dumbbell snatches  15 burpee box jump-overs  30 dumbbell snatches  15 burpee box jump-overs  40 dumbbell snatches  15 burpee box jump-overs  50 dumbbell snatches  15 burpee box jump-overs; Men use 50-lb. dumbbell and 24-in. box  Women use 35-lb. dumbbell and 20-in. box; Post time to comments and/or register and submit your score as part of the 2017 Reebok CrossFit Games Open.
59,"Rest Day; ""Crash-test dummies are older and fatter -- just like many Americans,"" CNN.; Post thoughts to comments."
60,"Complete as many rounds as possible in 10 minutes of:  10 handstand push-ups to 6-in. deficit  20-calorie row  30 single-legged squats, alternating; Post rounds completed to comments.; Compare to 161109."
61,Yeti; For time:  25 pull-ups  10 muscle-ups  1.5-mile run  10 muscle-ups  25 pull-ups; Post time to comments.
62,"For time:  42 GHD sit-ups  115-lb. squat clean thrusters, 21 reps  30 GHD sit-ups  115-lb. squat clean thrusters, 15 reps  18 GHD sit-ups  115-lb. squat clean thrusters, 9 reps; Post time to comments."
63,"Rest Day; ""CrossFit founder wants investigation into soda companies,"" Fox News.; Post thoughts to comments."
64,"Tabata Barbell; Tabata deadlift, 185 lb.  Tabata hang power clean, 135 lb.  Tabata front squat, 85 lb.  Tabata push press, 65 lb.; The Tabata interval is 20 seconds of work followed by 10 seconds of rest for 8 intervals. Rest one minute between exercises.; Post total reps from all 32 intervals to comments."
65,Workout 16.3; Complete as many rounds and reps as possible in 7 minutes of:  10 power snatches  3 bar muscle-ups; Men use 75 lb.  Women use 55 lb.; Post rounds/reps completed to comments.; Compare to 160311.
66,Behind-the-neck jerk 1-1-1-1-1-1 reps  Push jerk 10-8-6-4-2 reps; Post loads to comments.
67,"Rest Day; ""The Eagle Huntress - Soaring Cinematography Featurette,"" YouTube.; Post thoughts to comments."
68,"Make 3 attempts at each of the following:  Max set toes-to-bars  Max set ring dips  Broad jump for distance  Then,  Row 2,000 meters for time; Rest as needed between exercises.; Post reps, distance and time for each to comments."
69,"Workout 11.2; Complete as many rounds and reps as possible in 15 minutes of:; 155-lb. deadlifts, 9 reps  12 push-ups  15 box jumps, 24-in. box; Post rounds completed to comments.; Compare to 110330."
70,500 double-unders for time.; Start a clock and at the beginning of each minute perform 3 bodyweight front squats.; Post time to comments.
71,"Rest Day; ""New twist in Noakes case ,"" Times Live.; Post thoughts to comments."
72,"Cameron; For time:  50 walking lunge steps  25 chest-to-bar pull-ups  50 box jumps, 24-in. box  25 triple-unders  50 back extensions  25 ring dips  50 knees-to-elbows  25 wall-ball ""2-fer-1s"", 20-lb. ball  50 sit-ups  15-ft. rope climbs, 5 ascents; Post time to comments.; Compare to 130326."
73,"Workout 15.4; Complete as many reps as possible in 8 minutes of:  3 handstand push-ups  3 cleans  6 handstand push-ups  3 cleans  9 handstand push-ups  3 cleans  12 handstand push-ups  6 cleans  15 handstand push-ups  6 cleans  18 handstand push-ups  6 cleans  21 handstand push-ups  9 cleans; Etc., adding 3 reps to the handstand push-up each round, and 3 reps to the clean every 3 rounds.; Men clean 185 lb.  Women clean 125 lb.; Post reps completed to comments.; Compare to 150320."
74,For time:  Fran  1-mile run; Fran is 21-15-9 reps for time of 95-lb. thrusters and pull-ups. Complete Fran before running the mile.; Post time to comments.
75,"Rest Day; ""Coca-Cola to release their healthiest cola ever in Japan this March,"" Rocket News.; Post thoughts to comments."
76,"5 rounds for time of:  Max calorie row in 60 seconds  50-lb. Turkish get-ups; Complete a total of 40 reps (or calories) in each round. For example, if you row 25 calories, complete 15 Turkish get-ups for that round. If you row 30 calories, complete 10 Turkish get-ups for that round.; Post time to comments."
77,Back squat 5-5-5-5-5 reps; Post loads to comments.; Compare to 160126.
78,"Workout 12.2; Proceed through the sequence below, completing as many reps as possible in 10 minutes of:  75-lb. snatches, 30 reps  135-lb. snatches, 30 reps  165-lb. snatches, 30 reps  210-lb. snatches, as many reps as possible; Post reps completed to comments.; Compare to 120302."
79,"Rest Day; ""Affiliates Rush to Purchase Essential Fitness Equipment After Learning Open Will Require Weights,"" The Overheard Press.; Post thoughts to comments."
80,"Badger; 3 rounds for time of:  95-lb. squat cleans, 30 reps  30 pull-ups  Run 800 meters; Post time to comments.; Compare to 110618."
81,Push press 1-1-1-1-1-1-1 reps.; Post loads to comments.; Compare to 090818.
82,"Five 3-minute rounds of:  185-lb. front squats, 10 reps  10 box jumps, 36-in. box  Row for max calories; Rest 3 minutes between rounds.; Post calories rowed each round to comments."
83,"Rest Day; ""Americans were making a lot of progress cutting back on sugary drinks. Now that?s stopped."" The Washington Post.; Post thoughts to comments."
84,"15-12-9 reps for time of:  Toes-to-bars  Wall-ball shots, 20-lb. ball  75-lb. thrusters; Post time to comments."
85,"Weston; 5 rounds for time of:  Row 1,000 meters  200-m farmers carry, 45-lb. dumbbells  45-lb. dumbbell waiters walk, 50 meters, right arm  45-lb. dumbbell waiters walk, 50 meters, left arm; Post time to comments.; Compare to 121121."
86,"4 rounds for time of:  95-lb. power snatches, 20 reps  50 double-unders; Post time to comments."
87,"Rest Day; ""Get the junk food out of SNAP,"" The Hill.; Post thoughts to comments."
88,"10 rounds, each for time, of:  100-meter sprint  Rest 90 seconds; Post times for each round to comments.; Compare to 160322."
89,"Make 3 attempts at each of the following:  Max set L pull-up  Max distance handstand walk  Max set pull-up  Max time handstand hold; Post reps, distance and time to comments."
90,"Burpee + 185-lb. back-squat ladder  Rest 3 minutes  Burpee + 115-lb. shoulder-press ladder  Rest 3 minutes  Burpee + 245-lb. deadlift ladder; For the ladder pattern, perform 1 rep of each exercise the first minute, 2 reps of each the second minute, 3 reps of each the third minute, continuing as long as you are able. Use as many sets each minute as needed.; Post number of minutes completed for each ladder to comments.; Compare to 150804."
91,"Rest Day; ""Kids Menus Aren't Getting Healthier, New Study Finds,"" Consumer Reports.; Post thoughts to comments."
92,Snatch balance 3-3-3-3-3 reps; Post loads to comments.; Compare to 150905.
93,15-12-9 reps for time of:  135-lb. thrusters  Muscle-ups; Post time to comments.; Compare to 080817.
94,"Paul Pena; 7 rounds, each for time of:  100-meter sprint  19 kettlebell swings, 2 pood  10 burpee box jumps, 24-inch  Rest 3 minutes; Post time for each round to comments."
95,"Rest Day; ""In the Shopping Cart of a Food Stamp Household: Lots of Soda,"" The New York Times.; Post thoughts to comments."
96,Power clean 3-3-3-3-3 reps; Post loads to comments.; Compare to 150624.
97,"5 rounds for time of:  Run 800 meters  75-lb. overhead squats, 25 reps  75-lb. sumo deadlift high pulls, 25 reps; Post time to comments."
98,"For time:  50 box jumps, 24-inch box  50 jumping pull-ups  50 kettlebell swings, 1 pood  50 walking-lunge steps  50 knees-to-elbows  50 push presses, 45 lb.  50 back extensions  50 wall-ball shots, 20-lb. ball  50 burpees  50 double-unders; Post time to comments.; Compare to 150215."
99,"Rest Day; ""Unintended Consequences, Special Interests, and Our Problem with Sugar,"" Cato Unbound.; Post thoughts to comments."
100,Linda; 10-9-8-7-6-5-4-3-2-1 reps for time of:  1 1/2 body-weight deadlift  Body-weight bench press  3/4 body-weight clean; Set up three bars and storm through for time.; Post time to comments.; Compare to 151130.
101,Complete as many rounds as possible in 12 minutes of:  20 GHD sit-ups  10 left-arm overhead walking lunges  10 right-arm overhead walking lunges; Use a 60-lb. dumbbell on the lunges.; Post rounds completed to comments.
102,Complete as many rounds as possible in 20 minutes of:  10 pull-ups  15 push-ups  20 squats; Post rounds completed to comments.
103,"Rest Day; ""Is sugar the world?s most popular drug?"" The Guardian.; Post thoughts to comments."
104,Overhead squat 3-3-3-3-3 reps; Post loads to comments.; Compare to 160829.
105,"Helen; 3 rounds for time of:  Run 400 meters  1.5-pood kettlebell swings, 21 reps  12 pull-ups; Post time to comments.; Compare 161027."
106,"7 rounds for time of:  10 handstand push-ups  2 rope ascents, 15-ft. rope; Post time to comments."
107,"Rest Day; ""How to Become a ?Superager?,"" The New York Times.; Post thoughts to comments."
108,"Karen; For time:  150 wall-ball shots, 20-lb. ball; Post time to comments.; Compare to 140531."
109,"CrossFit Total; Back squat, 1 rep  Shoulder press, 1 rep  Deadlift, 1 rep; Post total to comments.; Compare to 160111."
110,3 rounds for time of:  Row 50 calories  150 double-unders  50 walking lunges; Post time to comments.; Compare to 141211.
111,"Rest Day; ""Aging Well: Keeping Blood Sugar Low May Protect Memory,"" NPR.; Post thoughts to comments."
112,"For time, fast and heavy:  21 dumbbell thrusters  Run 400 meters  18 dumbbell thrusters  Run 400 meters  15 dumbbell thrusters  Run 400 meters; Post time and load to comments.; Compare to 160210."
113,5 rounds for time of:  20 L pull-ups  16 ring dips; Post time to comments.; Compare to 160101.
114,Hang squat snatch 1-1-1-1-1-1-1 reps; Post loads to comments.; Compare to 141230.
115,"Rest Day; ""The case against sugar,"" Gary Taubes for Aeon.; Post thoughts to comments."
116,"Nick; 12 rounds for time of:  45-lb. dumbbell hang squat cleans, 10 reps  6 handstand push-ups on dumbbells; Post time to comments.; Compare to 120619."
117,5 rounds for time of:  Run 800 meters  30 GHD sit-ups  30 hip extensions; Post time to comments.; Compare to 150709.
118,"For time:  15 burpees, jumping over the barbell  225-lb. clean and jerks, 5 reps  12 burpees, jumping over the barbell  225-lb. clean and jerks, 4 reps  9 burpees, jumping over the barbell  225-lb. clean and jerks, 3 reps; Post time to comments."
119,"Rest Day; ""CrossFit Group Rallies Around Family Robbed of Christmas,"" NBC Chicago News."
120,Dumbbell overhead squat 5-5-5-5-5 reps  Bench press 3-3-3-3-3 reps  5 attempts at a max set of triple-unders; Post loads and jump-rope reps to comments.
121,"Tiff; On a 25-minute clock,  Run 1.5 miles  Then perform as many rounds as possible of:  11 chest-to-bar pull-ups  7 hang squat cleans, 155 lb.  7 push presses, 155 lb.; Post rounds completed to comments."
122,"Row 5,000 meters; Post time to comments.; Compare to 151017."
123,"Rest Day; ""Study Tied to Food Industry Tries to Discredit Sugar Guidelines,"" The New York Times.; Post thoughts to comments."
124,"For time:  135-lb. thrusters, 10 reps  50 double-unders  135-lb. thrusters, 8 reps  40 double-unders  135-lb. thrusters, 6 reps  30 double-unders  135-lb. thrusters, 4 reps  20 double-unders  135-lb. thrusters, 2 reps  10 double-unders; Post time to comments.; Compare to 080531."
125,"10 rounds for time of:  3 weighted pull-ups, 45 lb.  5 strict pull-ups  7 kipping pull-ups; For weighted pull-ups, place a 45-lb. dumbbell between the legs above crossed ankles and jettison the dumbbell after third rep. Then continue with strict pull-ups and kipping pull-ups. Coming off the bar or going to ground constitutes termination of a set.; Post time and number of sets to completion.; Compare to 140620."
126,Shoulder press 1-1-1-1-1 reps  Push press 3-3-3-3-3 reps  Push jerk 5-5-5-5-5 reps; Post loads to comments.; Compare to 160609.
127,"Rest Day; ""Cheyenne Police Department creates position to address recruiting issues,"" Wyoming Tribune Eagle.; Post thoughts to comments."
128,"Johnson; Complete as many rounds in 20 minutes as you can of:  245-lb. deadlifts, 9 reps  8 muscle-ups  155-lb. squat cleans, 9 reps; Post rounds completed to comments.; Compare to 100709."
129,"5 rounds for time of:  12 left-arm kettlebell snatches, 1.5 pood  12 right-arm kettlebell snatches, 1.5 pood  15-ft. rope climbs, 3 ascents  250-m row  Rest 3 minutes; Post time to comments."
130,"For time:  30 wall-ball shots, 30-lb. ball  Run 1 mile  30 wall-ball shots, 30-lb. ball; Post time to comments."
131,"Rest Day; ""Coke targets 'foodies' as more people move away from sodas,"" AP News.; Post thoughts to comments."
132,"For time:  20-calorie bike  165-lb. clean and jerks, 20 reps  20-calorie bike; If you don?t have an indoor bike, use a rower.; Post time to comments."
133,Back squat 3-3-3-3 reps  Thruster 3-3-3-3 reps  4 attempts at a max L-sit hold for time; Post loads and time in L-sit holds to comments.
134,3 rounds for time of:  Run 400 meters  15 pull-ups  50 squats  15 pull-ups; Compare to 101208.
135,"Rest Day; ""Life Expectancy In U.S. Drops For First Time In Decades, Report Finds,"" NPR.; Post thoughts to comments."
136,Elizabeth; 21-15-9 reps for time of:  135-lb. cleans  Ring dips; Post time to comments.; Compare to 160728.
137,Hang power snatch 3-3-3-3-3 reps; Post loads to comments.; Compare to 150224.
138,21-18-15-12-9-6-3 reps for time of:  GHD sit-ups  95-lb. shoulder presses; Post time to comments.
139,"Rest Day; ""Nearly half of America?s overweight people don?t realize they?re overweight,"" The Washington Post.; Post thoughts to comments."
140,"Complete as many rounds as possible in 20 minutes of:  10 chest-to-bar pull-ups  20 one-legged squats, alternating  10 box jumps, 36-in. box; Post rounds completed to comments."
141,Deadlift 1-1-1-1-1-1-1 reps; Post loads to comments.; Compare to 160408.
142,"Manuel; 5 rounds of:  3 minutes of rope climbs  2 minutes of squats  2 minutes of push-ups  3 minutes to run 400 meters; Wear a weight vest or body armor. After the run, rest for the remainder of the 3 minutes before beginning the next round.; Post reps completed to comments."
143,"Rest Day; ""Use of statins increases risk of developing diabetes by 46 percent,"" Science Daily.; Post thoughts to comments."
144,50-40-30-20-10 reps for time of:  GHD sit-ups  2-pood kettlebell swings; Post time to comments.; Compare to 140516.
145,"BSU; 3 rounds for time of:  165-lb. thrusters, 7 reps  15 muscle-ups  165-lb. power snatches, 10 reps; Beat Zhou?s time of 15:05, upload video to YouTube, and post link to comments by Wednesday at 5 p.m. PT. Fastest time will win a trip to China to visit Beijing Sports University. Women use 110 lb. Details here."
146,"For time:  Row 50 calories  50 handstand push-ups  50 L pull-ups  95-lb. sumo deadlift high pulls, 50 reps  50 inverted burpees  50 toes-to-bars  Row 50 calories; Post time to comments."
147,"Rest Day; ""How Kellogg worked with 'independent experts' to tout cereal"" AP News.; Post thoughts to comments."
148,10 rounds of:  30 seconds of burpees  Rest 30 seconds  30 seconds of 45-lb. dumbbell thrusters  Rest 30 seconds; Post total reps completed to comments.; Compare to 150416.
149,"5 rounds, each for time, of:  Run 800 meters  Rest 3 minutes; Post time for each interval to comments.; Compare to 160818."
150,Complete as many rounds as possible in 20 minutes of:  50 double-unders  100-ft. walking lunge  100-ft. bear crawl; Post rounds completed to comments.
151,"Rest Day; ""Big Soda?s Balance Calories Initiative: Rigged Marketing or Public Health Promotion?"" The Russells.; Post thoughts to comments."
152,"Hollywood; For time:  Run 2 km  22 wall-ball shots, 30-lb. ball  22 muscle-ups  22 wall-ball shots, 30-lb. ball  22 power cleans, 185-lb.  22 wall-ball shots, 30-lb. ball  Run 2 km; Post time to comments."
153,Push jerk 3-3-3-3-3 reps; Post loads to comments.; Compare to 150707.
154,"21-15-9 reps for time of:  275-lb. deadlifts  Burpees, jumping over the barbell; Post time to comments."
155,"Rest Day; ""Congressman Tim Ryan Wants to Start a Food Revolution,"" Civil Eats.; Post thoughts to comments."
156,"Daniel; For time:  50 pull-ups  400-meter run  95-lb. thrusters, 21 reps  800-meter run  95-lb. thrusters, 21 reps  400-meter run  50 pull-ups; Post time to comments.; Compare to 140318."
157,For time:  150 burpees; Post time to comments.; These are from completely prone to jumping and touching an object eight inches above maximum reach.; Compare to 071224.
158,"Nukes; 8 minutes to complete:  1-mile run  315-lb. deadlifts, max reps  Then, 10 minutes to complete:  1-mile run  225-lb. power cleans, max reps  Then, 12 minutes to complete:  1-mile run  135-lb. overhead squats, max reps; Do not rest between rounds. Post run times and reps completed for each exercise to comments.; Compare to 140415."
159,"Rest Day; ""Genetic Heart Disease Risk Eased by Healthy Habits, Study Finds,"" New York Times.; Post thoughts to comments."
160,"3 rounds, each for time of:  100 single-unders  50 double-unders  25 triple-unders; Rest as needed between rounds.; Post time for each round to comments."
161,"Every 2 minutes for as long as possible complete:; From 0:00-2:00; 15-ft. rope climbs, 2 ascents; 185-lb. front squats, 2 reps; From 2:00-4:00; 15-ft. rope climbs, 2 ascents; 185-lb. front squats, 4 reps; From 4:00-6:00; 15-ft. rope climbs, 2 ascents; 185-lb. front squats, 6 reps; Continue adding 2 reps to the front squat each interval for as long as you are able.; Post number of minutes completed to comments.; Compare to 150806."
162,Overhead squat 1-1-1-1-1-1-1 reps; Post loads to comments.; Compare to 160330.
163,"Rest Day; ""Just one can of fizzy drink a day IS enough to raise the risk of developing diabetes by 50%,"" Daily Mail.; Post thoughts to comments."
164,4 rounds for time of:  Lunge 100 meters  Run 300 meters; Wear a 20-lb. weight vest.; Post time to comments.
165,"Complete as many rounds as possible in 10 minutes of:  10 handstand push-ups to 6-in. deficit  20-calorie row  30 single-legged squats, alternating; Post rounds completed to comments."
166,"Complete as many rounds as possible in 15 minutes of:  4 bar muscle-ups  45-lb. dumbbell Turkish get-ups, 6 reps  8 ring push-ups; Post rounds completed to comments."
167,"Rest Day; ""Kendrick Lamar and Rick Rubin Have an Epic Conversation,"" The Scene.; Post thoughts to comments."
168,Clean and jerk 1-1-1-1-1-1-1 reps; Post loads to comments or register for the Liftoff and log your score on the leaderboard.; Compare to 160412.
169,Complete as many rounds as possible in 15 minutes of:  25 pull-ups  50-calorie row  100 overhead squats  50 box jumps  25 pull-ups; Men use a 45-lb. barbell and 24-in. box  Women use a 35-lb. barbell and 20-in. box; Post reps completed to comments or register for the Liftoff and log your score on the leaderboard.
170,Snatch 1-1-1-1-1-1-1 reps; Post loads to comments or register for the Liftoff and log your score on the leaderboard.; Compare to 160518.
171,"Rest Day; ""Conflicts of interest compromise US public health agency?s mission, say scientists,"" The BMJ.; Post thoughts to comments."
172,"Complete as many rounds as possible in 7 minutes of:  135-lb. sumo deadlift high pulls, 10 reps  135-lb. push presses, 10 reps; Post rounds completed to comments."
173,"For time:  Run 400 meters  Rest 1 minute  Run 800 meters  Rest 2 minutes  Run 1,200 meters  Rest 3 minutes  Run 1,600 meters; Post time to comments.; Compare to 160319."
174,3 rounds SLOWLY of:  5 strict toes-to-bars  5 strict knees-to-elbows  10 toes-to-bars  10 hip-back extensions  20 back extensions  20 hip extensions; Post time to comments.
175,"Rest Day; ""Sugar Linked To $1 Trillion In U.S. Healthcare Spending,"" Forbes.; Post thoughts to comments."
176,Test 3; Tabata squat  Max reps of muscle-ups in 4 minutes; The Tabata interval is 20 seconds of work followed by 10 seconds of rest for 8 intervals. The Tabata score is the least number of reps performed in any of the eight intervals. Begin time for muscle-ups immediately after the last 10-second rest interval. Test score equals Tabata score multiplied by number of muscle-ups completed.; Post score to comments.; Compare to 131009.
177,"For time:  1,000-m row  50 wall-ball shots  50 box jumps  750-m row  35 wall-ball shots  35 box jumps  500-m row  25 wall-ball shots  25 box jumps; Use a 20-lb. ball and a 24-in. box.; Post time to comments."
178,"Helen  3 rounds for time of:  Run 400 meters  1.5-pood kettlebell swings, 21 reps  12 pull-ups; Post time to comments.; Compare to 160303."
179,"Rest Day; ""Are Conflicts of Interest In Nutrition Less Worrisome?"" Weighty Matters.; Post thoughts to comments."
180,"Complete as many rounds as possible in 10 minutes of:  20 GHD sit-ups  205-lb. squat cleans, 5 reps; Post rounds completed to comments."
181,Deadlift 10-5-3-1-1-1-3-5-10 reps; Post loads to comments.; Compare to 150819.
