,Col 1
1912,"For time:  75 pound Back squat, 50 reps  15 foot Rope climb, 5 ascents  75 pound Back squat, 40 reps  15 foot Rope climb, 4 ascents  75 pound Back squat, 30 reps  15 foot Rope climb, 3 ascents  75 pound Back squat, 20 reps  15 foot Rope climb, 2 ascents  75 pound Back squat, 10 reps  15 foot Rope climb, 1 ascent; Ken Cutrer 10:47. Post time to comments."
1913,8 rounds of:  Run 400 meters  Rest 90 seconds; Post total time to comments not including 8th rest.; Compare to 100302.
1914,Rest Day
1915,"Seven rounds for time of:  165 pound Front squat, 7 reps  7 Chest-to-bar pull-ups; Jason Khalipa 3:23, Neal Maddox 3:48. Post time to comments."
1916,Resting 60 seconds between sets:  Press 2-2-2-2-2-2-2-2-2-2; Post load(s) to comments.; Compare to 111022.
1917,"Seven rounds for time of:  225 pound Deadlift, 7 reps  7 L-pull-ups; Graham Holmberg 7:48. Post time to comments."
1918,Rest Day
1919,"Three rounds for time of:  Row 1000 meters  45 pound Thruster, 50 reps  30 Pull-ups; Neal Maddox 21:04, Jason Khalipa 21:45, Kevin Montoya 21:51, John Zvejnieks 23:18.  Post time to comments.; Compare to 061228."
1920,"Elizabeth; 21-15-9 reps of:  Clean 135 pounds  Ring dips; Zach Forrest 5:36, Candice Ruiz 6:34 (95lbs), Miranda Oldroyd 7:53 (95lbs), Nadia Shatila 8:23 (95lbs).  Post time to comments.; Compare to 110115."
1921,"Split snatch 1-1-1-1-1-1-1 reps; Josh Everett 245lbs, Cody Burgener 245lbs.  Post loads to comments."
1922,Rest Day
1923,"Five rounds for time of:  12 Wallball shots, 20 pound ball  12 Toes-to-bar; Josh Everett 3:51, Kim Malz 5:33 (16lb ball). Post time to comments."
1924,Run 5K; Post time to comments.; Compare to 110922.
1925,"Tabata This!; Tabata Row  Rest 1 minute  Tabata Squat  Rest 1 minute  Tabata Pull-up  Rest 1 minute  Tabata Push-up  Rest 1 minute  Tabata Sit-up; The Tabata interval is 20 seconds of work followed by 10 seconds of rest for 8 intervals.  Tabata score is the least number of reps performed in any of the eight intervals. Unit for the row is ""calories"".; Danielle Dionne: 5, 20, 7, 9, 14 = 55, Alex Browning: 7, 17, 8, 11, 8 = 51. Jeff Jenkins: 4, 16, 5, 6, 12 = 43, Leah Fae Cochran: 6, 15, 5, 5, 8 = 39.  Post Tabata score for each exercise to comments and total for final score.; Compare to 101011."
1926,Rest Day
1927,Back Squat 3-3-3-3-3 reps; Dave Lipson: 455-485-505-515-520lbs.  Rob Orlando: 405-425-445-465-475(fail) lbs.  Post loads to comments.; Compare to 111206.
1928,"For time:  50 Box jump, 24 inch box  50 Jumping pull-ups  50 Kettlebell swings, 1 pood  Walking Lunge, 50 steps  50 Knees to elbows  50 Push press, 45 pounds  50 Back extensions  50 Wall ball shots, 20 pound ball  50 Burpees  50 Double unders; Derek Mohamed 16:23, Kevin Montoya 17:26, Mel Ockerby 20:36.  Post time to comments.; Compare to 110629."
1929,Nate; Complete as many rounds in twenty minutes as you can of:  2 Muscle-ups  4 Handstand Push-ups  8 2-Pood Kettlebell swings; Josh Everett 18 rounds. Post rounds completed to comments.; Compare to 110621.
1930,Rest Day
1931,"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.; Use as many sets each minute as needed.; Alicia Gomes 20 minutes + 18 reps, Jared Monaco 19 minutes + 18 reps.  Post number of minutes completed to comments.; Compare to 110310."
1932,"Ten rounds for time of:  135 pound Deadlift, 15 reps  15 push-ups; Tommy Hackenbruck 11:01, Taylor Richards-Lindsay 13:34. Post time to comments.; Compare to 100927."
1933,"Kelly; Five rounds for time of:  Run 400 meters  30 Box jump, 24 inch box  30 Wall ball shots, 20 pound ball; Josh Everett 21:51, Brian Mitchell 24:48, Jenny LaBaw 25:31.  Post time to comments.; Compare to 110218."
1934,Rest Day
1935,"Cindy  Complete as many rounds in 20 minutes as you can of:  5 Pull-ups  10 Push-ups  15 Squats; OR; ""Mary""  Complete as many rounds in 20 minutes as you can of:  5 Handstand Push-ups  10 One legged squats, alternating  15 Pull-ups; Nadia Shatila 13 rounds (Mary), Connor Martin 12 rounds + 2 pull-ups (Mary), Kim Malz 11 rounds + 3 pull-ups (Mary), Keegan Martin 11 rounds (Mary).  Post your choice of girls and rounds completed to comments.; Compare to 111008."
1936,"Overhead Squat 3-3-3-3-3 reps; Tommy Hackenbruck 305lbs, Jonathan Pera 305lbs, Taylor Richards-Lindsay 165lbs.  Post loads to comments.; Compare to 110809."
1937,"Fran; Three rounds, 21-15- and 9 reps, for time of:  95 pound Thruster  Pull-ups; Connor Martin 2:08, EJ 5:17 (age 10, 27lbs). Post time to comments.; Compare to 110614."
1938,Rest Day
1939,"Dae Han; Three rounds for time of:  Run 800 meters with a 45 pound barbell  15 foot Rope climb, 3 ascents  135 pound Thruster, 12 reps; Chris Spealler 17:46, Dave Leys 21:32. Post time to comments."
1940,"Ricky; Complete as many rounds as possible in 20 minutes of:  10 Pull-ups  75 pound dumbbell Deadlift, 5 reps  135 pound Push-press, 8 reps; Aryan Barto 14 rounds + 3 pull-up, Aja Barto 13 rounds + 5 press.  Post rounds completed to comments."
1941,"Hidalgo; For time:  Run 2 miles  Rest 2 minutes  135 pound Squat clean, 20 reps  20 Box jump, 24"" box  20 Walking lunge steps with 45lb plate held overhead  20 Box jump, 24"" box  135 pound Squat clean, 20 reps  Rest 2 minutes  Run 2 miles; If you've got a twenty pound vest or body armor, wear it.; Chris Martirano 40:41, David Mcintyre 40:52, Chris Stowe 42:17, Shari Felman 42:38 (95lb clean, 25lb lunge).  Post time to comments."
1942,Rest Day
1943,"Five rounds for time of:  135 pound Deadlift, 9 reps  135 pound Hang power snatch, 6 reps  135 pound Overhead squat, 3 reps; Jason Khalipa 3:01, Josh Everett 3:29, Nate Beard 4:03, Kristan Clever 3:50 (95lbs), Katie Hogan 5:04 (95lbs), Miranda Oldroyd 5:06 (95lbs).  Post time to comments."
1944,"Complete as many rounds as possible in 20 minutes of:  18 Box jumps, 24"" box  15 Toes to bar  12 Pull-ups; Laurie Galassi 9 rounds + 9 jump, Lucas Zepeda 8 rounds + 12 T2B, Tyler Hinz 8 rounds + 6 jump.  Post rounds completed to comments."
1945,"Front squat 2-2-2-2-2-2 reps; Dave Lipson, 485lbs, Jason Khalipa 365lbs, Pat Barber 315lbs.  Post load(s) to comments."
1946,Rest Day
1947,"For time:  10 Muscle-ups  75 pound Push press, 100 reps  Row 1000 meters; Rich Froning 6:44, EZ Muhammad 8:09, Rob Fordham 8:03, Steven Kiefer 8:10. Post time to comments."
1948,"For time:  Run 1000 meters  100 Push-ups  135 pound Snatch, 10 reps; Josh Everett 6:30, Kristan Clever 11:07 (95lbs). Post time to comments."
1949,"21-15-9 reps for time of:  135 pound Clean  GHD sit-up; Greg Amundson 3:50, Scott Puckett 4:24. Post time to comments."
1950,Rest Day
1951,"CrossFit Total; Back squat, 1 rep  Shoulder Press, 1 rep  Deadlift, 1 rep; Cole Dick (age 15): Squat 355, Press 145, Deadlift 475. Total 975lbs.  Post total to comments.; Compare to 110829."
1952,"Three rounds for time of:  Row 1000 meters  Run 800 meters; Lucas Zepeda 20:55, Tyler Hinz 21:40, Dave Leys 21:44, Kevin Montoya 22:53.  Post time to comments."
1953,"Five rounds for time of:  20 Pull-ups  30 Kettlebell swings, 1.5 pood  40 Double-unders; Kevin Montoya 13:29, Tim Burke 15:15, Rob Orlando 15:29, Jenny LaBaw 15:42.  Post time to comments."
1954,Rest Day
1955,"Three rounds for time of:  7 Muscle-ups  35 pound Dumbbell thruster, 21 reps; Rob Orlando 4:57, Kristan Clever 6:58, Rebecca Voigt 8:34, Andrea Ager 8:41.  Post time to comments."
1956,Deadlift 5-5-5-5-5 reps; Post loads to comments.; Compare to 100610.
1957,"Three rounds for time of:  35 pound Dumbbell squat snatch, 15 reps, right arm  15 GHD sit-ups  35 pound Dumbbell squat snatch, 15 reps, left arm  15 Toes to bar; Kristan Clever 9:48, Rebecca Voigt 11:15, Lindsey Valenzuela 11:21.  Post time to comments."
1958,Rest Day
1959,"Seven rounds for time of:  205 pound Clean, 3 reps  4 Ring handstand push-ups; Philip Kniep 4:29, Kristan Clever 5:05 (135lbs), James Hobart 6:05, Kevin Montoya 6:41.  Post time to comments.; Compare to 100721."
1960,Resting 60 seconds between sets:  Bench press 2-2-2-2-2-2-2-2-2-2; Post load(s) to comments.; Compare to 101005.
1961,"Complete as many rounds as you can in 20 minutes of:  Run 400 meters  Deadlift 155 pounds, 21 reps; Josh Everett 8 rounds + 60 meters.  Post rounds and fractions of rounds completed to comments.; Compare to 041127."
1962,Rest Day
1963,"Wood; 5 Rounds for time of:  Run 400 meters  10 Burpee box jumps, 24"" box  95 pound Sumo-deadlift high-pull, 10 reps  95 pound Thruster, 10 reps  Rest 1 minute; Post total time to comments."
1964,Back Squat 3-3-3-3-3 reps; Post loads to comments.; Compare to 110613.
1965,"Eva; Five rounds for time of:  Run 800 meters  2 pood Kettlebell swing, 30 reps  30 Pull-ups; Lucas Zepeda 34:04, Tyler Hinz 38:24, Matt Bischel 44:11.  Post time to comments.; Compare to 110216."
1966,Rest Day
1967,Complete as many rounds as possible in 20 minutes of:  Row 250 meters  25 Push-ups; Post rounds completed to comments.
1968,"Clean and Jerk 1-1-1-1-1-1-1 reps; Rob Orlando 310lbs, Vic Zachary 275lbs, Lindsey Smith 210 lbs, Maya Keenan-Gallagher 105lbs (age 11).  Post loads to comments.; Compare to 110617."
1969,"Complete as many rounds as possible in 15 minutes of:  15 foot Rope climb, 2 ascents  20 Wall ball shots, 20 pound ball  Run 200 meters; Post rounds completed to comments."
1970,Rest Day
1971,"Five rounds for time of:  5 Hanging ring extensions (right arm + left arm = 1)  5 Forward rolls  5 Backward rolls  45 pound Sots press, 10 reps; Dusty Hyland 7:07, JC Nessa 7:08, Chris Lofland 7:58.  Post time to comments."
1972,"225 pound Deadlift, 21 reps  Handstand walk 21 meters  225 pound Deadlift, 15 reps  Handstand walk 15 meters  225 pound Deadlift, 9 reps  Handstand walk 9 meters; Matt Chan 2:54, Dusty Hyland 3:04, Emmalee Moore 3:20.  Post time to comments."
1973,Run 10K; Post time to comments.; Compare to 110321.
1974,Rest Day
1975,Hang power snatch 3-3-3-3-3 reps; Post loads to comments.; Compare to 110228.
1976,"Santora; Three rounds for reps of:  155 pound Squat cleans, 1 minute  20' Shuttle sprints (20' forward + 20' backwards = 1 rep), 1 minute  245 pound Deadlifts, 1 minute  Burpees, 1 minute  155 pound Jerks, 1 minute  Rest 1 minute; James Hobart 158 reps. Post total reps completed to comments."
1977,"For time:  100 Burpee pull-ups; Ideally, the pull-up bar is one foot above your reach.; Post time to comments.; Compare to 110205."
1978,Rest Day
1979,"Nutts; For time:  10 Handstand push-ups  250 pound Deadlift, 15 reps  25 Box jumps, 30 inch box  50 Pull-ups  100 Wallball shots, 20 pounds, 10'  200 Double-unders  Run 400 meters with a 45lb plate; Post time to comments; Compare to 101219."
1980,"Three rounds, 15-12-and 9 reps, for time of:  135 pound barbell Thrusters  45 pound weighted Pull-ups; For weighted pull-ups, placing a 45 pound dumbbell between the legs above crossed ankles works great.; Kenneth Cutrer 7:02, Jeff Tincher 7:26. Post time to comments.; Compare to 100913."
1981,Michael; Three rounds for time of:  Run 800 meters  50 Back Extensions  50 Sit-ups; Post time to comments.; Compare to 110405.
1982,Rest Day
1983,"Snatch balance 1-1-1-1-1-1-1; Kristan Clever 190lbs, Rebecca Voigt 175lbs, Maya Keenan-Gallagher 65lbs (age 11).  Post loads to comments.; Compare to 110606."
1984,Three rounds for time of:  Run 800 meters  Rest 2 minutes; Post time to comments.; Compare to 110727.
1985,"Thruster 1-1-1-1-1-1-1 reps; Josh Boultinghouse 305lbs, Stefan Niemczyk 275lbs, Owen Franks 260lbs, Maya Keenan-Gallagher 80lbs (age 11).  Post loads to comments.; Compare to 101020."
1986,Rest Day
1987,"21-15-9 reps for time of:  GHD Wall ball, 10 pound ball  Wallball ""2-fer-1s"", 20 pound ball; Pat Barber 5:23, Cary Hair 5:53, Cara Hipskind 6:06.  Post time to comments."
1988,"For time:  Row 500 meters  20 inch Box jump, 50 reps  Push-ups, 50 reps  Sit-ups, 50 reps  Jumping pull-ups, 50 reps  50 Back extension  Dips, 50 reps  1.5 pood Turkish Get-up, 20 reps, alternating arms; Austin Malleolo 17:08, Kristan Clever 19:30, Danielle Edmundson 21:03 (1 pood TGU), Spencer Hendel 22:13.  Post time to comments.; Compare to 041015."
1989,"Murph; For time:  1 mile Run  100 Pull-ups  200 Push-ups  300 Squats  1 mile Run; Partition the pull-ups, push-ups, and squats as needed. Start and finish with a mile run. If you've got a twenty pound vest or body armor, wear it.; Post time to comments.; Compare to 101231."
1990,Rest Day
1991,"Grace  For time:  135 pound Clean and Jerk, 30 reps; OR; ""Isabel""  For time:  Snatch 135 pounds, 30 reps; Use 95 pounds, 65 pounds or broomstick as needed.; Grace: John McKay 1:19, Alyssa Ross (age 17, 95lbs) 3:15.  Post your choice of girls and time and load to comments.; Compare to 090508 or 110819."
1992,"White; Five rounds for time of:  15' Rope climb, 3 ascents  10 Toes to bar  21 Walking lunge steps with 45lb plate held overhead  Run 400 meters; Kristan Clever 21:18, Candice Ruiz 21:21 (25lb lunge), Kenneth Cutrer 21:47, Rebecca Voigt 23:07, Katie Hogan 27:31, Lindsey Valenzuela 27:47.  Post time to comments."
1993,"Three rounds for time of:  30 Wallball shots, 20 pound ball (10.5 foot target)  75 pound Squat snatches, 30 reps (movement initiates with barbell below the knees); Spencer Hendel 9:54, Austin Malleolo 11:46.  Post time to comments.; Compare to 110722."
1994,Rest Day
1995,"For time:  Row 300 meters  135 pound Push press, 20 reps  Row 300 meters  135 pound Push press, 15 reps  Row 300 meters  135 pound Push press, 10 reps  Row 300 meters  135 pound Push press, 5 reps; Austin Malleolo 6:34, Chad Wittman 6:35. Post time to comments."
1996,"For time:  25 GHD sit-ups  1 Muscle-up  20 GHD sit-ups  2 Muscle-ups  15 GHD sit-ups  3 Muscle-ups  10 GHD sit-ups  4 Muscle-ups  5 GHD sit-ups  5 Muscle-ups; Austin Malleolo 4:25, Kristan Clever 4:41, Chris Zienkievicz 4:41, Matt Chan 4:57, James Hobart 5:20, Jeff Tincher 5:29, Kevin Montoya 5:31, Laurie Galassi 5:44, Danielle Edmundson 6:57, Rebecca Voigt 7:05.  Post time to comments."
1997,"Seven rounds of:  35 Double-unders  1 Snatch; Make one snatch attempt per round.; Rebecca Voigt 8:00/875lbs, Kristan Clever 9:50/444lbs.  Post time and total of all successful snatches to comments. Do not count missed reps.; Compare to 110523."
1998,Rest Day
1999,"Set a cone at 20 meters. Five rounds for time of:  185 pound barbell Overhead walk, 40 meters  30 Wallball shots, 20 pound ball  95 pound barbells Farmer carry, 40 meters; The barbells must be turned around the cone.; Post time to comments.; Compare to 100629."
2000,"Three rounds for time of:  95 pound Overhead squat, 15 reps  15 L Pull-ups  95 pound Split-jerk, 15 reps  15 Knees to elbows  95 pound Hang clean, 15 reps  15 Back extensions, with 25 pounds; Hold 25 pound plate or dumbbell to chest for back extensions.; Josh Everett 15:28, Austin Malleolo 15:50, Dave Lipson 16:10, Russell Berger 16:37.  Post time to comments.; Compare to 061004."
2001,"Clean, 1 rep  Bench press, 1 rep  Overhead squat, 1 rep; Clean is from the ground, power or squat.; Rich Froning: 335lb clean, 325lb bench, 360lb OHS  Aja Barto: 335lb clean, 325lb bench, 335lb OHS  Post total to comments.; Compare to 101204."
2002,Rest Day
2003,"Tabata Something Else; Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises.; Post total reps from all 32 intervals to comments.; Compare to 110425."
2004,"Tabata Fight Gone Bad; Complete 40 intervals of 20 seconds of work followed by ten seconds of rest. Perform 8 consecutive intervals of each of the following exercises:; Wall-ball 20 pound ball, 10 ft target. (Reps)  Sumo deadlift high-pull 75 pounds (Reps)  Box Jump 20"" box (Reps)  Push-press 75 pounds (Reps)  Row (Calories); There is no additional rest between exercises.; Each exercise is scored by the weakest number of reps (calories on the rower) in each of the eight intervals. The score is the total of the scores from the five stations.; Post score to comments.; Compare to 070326."
2005,"Complete as many rounds as possible in 20 minutes of:  3 Wall climbs  10 Up-downs  5 Parallette pass-throughs (forward + back = 1)  10 Grasshoppers (right + left = 1); For the wall climbs, toes and chest touch the ground to toes and chest touch the wall. For the up-downs, thighs touch the ground then stand up fully. For the pass-throughs, the hips open at the front and back. For the grasshoppers, the shin contacts the opposite forearm.; Kristan Clever 10 rounds + 5 up-downs, Whitney Heuser 8 rounds + 5 pass-throughs, Cara Hipskind 7 rounds + 10 up-downs, Rebecca Voigt 7 rounds + 7 up-downs.  Post rounds completed to comments."
2006,Rest Day
2007,"21-15 and 9 rep rounds of:  Left-arm Kettlebell snatch, 1.5 pood  Right-arm Kettlebell snatch, 1.5 pood  Pull-ups; Post time to comments.; Compare to 101007."
2008,"Bradshaw; 10 rounds for time of:  3 Handstand push-ups  225 pound Deadlift, 6 reps  12 Pull-ups  24 Double-unders; Jason Khalipa 11:43. Post time to comments."
2009,Resting 60 seconds between sets:  Press 2-2-2-2-2-2-2-2-2-2; Post load(s) to comments.; Compare to 110411.
2010,Rest Day
2011,"Ten rounds, each for time of:  100 meter Sprint  Rest 90 seconds; Post times for each round to comments.; Compare to 110308."
2012,"2010 Northwest Regional Event 1; Three rounds for time of:  135 pound Overhead squat, 10 reps  50 Double-unders; Rich Froning 2:40, Elijah Muhammad 2:55, Connor Martin 3:01, Thomas Cox 3:15, Stacey Kroon 5:34 (99lb OHS), Camille Leblanc-Bazinet 6:48 (135lb OHS).  Post time to comments.; Compare to 110718."
2013,Five rounds for time of:  Run 200 meters  7 Muscle-ups  Run 200 meters  7 Handstand push-ups  Run 200 meters  30 second L-sit hold  Run 200 meters  20 One legged squats; Noah Gabriel Landis 37:47. Post time to comments.
2014,Rest Day
2015,"Five rounds for time of:  Run 200 meters  20 Pull-ups  Run 200 meters  20 Push-ups  Run 200 meters  20 Sit-ups  Run 200 meters  20 Squats; Peter Egyed 24:14, Kim Malz 33:15.  Post time to comments."
2016,"Five rounds for time of:  155 pound Squat clean, 7 reps  14 Kettlebell swings, 1.5 pood; Jason Khalipa 4:44, Neal Maddox 4:51, Josh Everett 5:50, Peter Egyed 6:04, Karianne Dickson 6:19 (105lb clean, 35lb KB).  Post time to comments."
2017,"Deadlift 1-1-1-1-1-1-1 reps; Rob Orlando 555lbs, Pat Barber 462lbs. Post loads to comments.; Compare to 110426."
2018,Rest Day
2019,"Complete as many rounds in 30 minutes as you can of:  Run 400 meters  10 L-Pull-ups  15 Back Extension with 25 pound plate  20 Sit-ups with 25 pound plate; Anthony Mayo 7 rounds + 400m run, Josh Everett 7 rounds + 200m run, Victoria Duncan 6 rounds + 200m run.  Post rounds and fractions of rounds completed to comments.; Compare to 040605."
2020,Front squat 2-2-2-2-2-2-2-2-2-2 reps; Danny Nichols 415lbs. Post load(s) to comments.
2021,"Diane; 21-15-9 reps of:  225 pound Deadlift  Handstand push-ups; Laurie Galassi 2:53 (155lbs), Annie Sakamoto 3:31 (155lbs), Candice Ruiz 3:57 (185lbs).  Post time to comments.; Compare to 110403."
2022,Rest Day
2023,"Cindy  Complete as many rounds in 20 minutes as you can of:  5 Pull-ups  10 Push-ups  15 Squats; OR; ""Mary""  Complete as many rounds in 20 minutes as you can of:  5 Handstand Push-ups  10 One legged squats, alternating  15 Pull-ups; Post your choice of girls and rounds completed to comments.; Compare to 110221."
2024,Tabata Double-under; The Tabata interval is 20 seconds of work followed by 10 seconds of rest for 8 intervals.  Tabata score is the least number of reps performed in any of the eight intervals.; Chris Spealler 40. Post Tabata score to comments.
2025,"Run 800 meters  15 Hang squat snatch  Run 800 meters  15 Squat snatch from mid-thigh  Run 800 meters  15 Squat snatch; Austin Malleolo 23:54 at 145/155/175lbs, Spencer Hendel 26:33 at 185/195/215lbs.  Post time and loads to comments."
2026,Rest Day
2027,"Muscle snatch 1-1-1-1-1 reps  Power snatch 3-3-3-3-3 reps  Snatch 5-5-5-5-5 reps; Aja Barto 155/225/215lbs, Neal Maddox 195/215/210lbs, Jason Khalipa 185/195/190lbs, Jared Davis 145/165/165lbs.  Post loads to comments."
2028,"Five rounds for time of:  6 Handstand push-ups  12 Chest-to-bar pull-ups  24 Weighted walking lunges, 35 pound dumbbells; Austin Malleolo 5:48, Josh Everett 6:22, Jesse Bazarnick 6:50, Kristan Clever 8:03 (35lb DBs), Laurie Galassi 8:39 (25lb DBs).  Post time to comments."
2029,"Carse; 21-18-15-12-9-6-3 reps for time of:  95 pound Squat clean  Double-under  185 pound Deadlift  24"" Box jump  Begin each round with a 50 meter Bear crawl.; Jason Khalipa 18:07, Alex Rollin 20:40, Cheryl Licon 24:10 (65lb clean, 115lb deadlift, 20"" box).  Post time to comments."
2030,Rest Day
2031,"Joshie; Complete three rounds for time of:  40 pound Dumbbell snatch, 21 reps, right arm  21 L Pull-ups  40 pound Dumbbell snatch, 21 reps, left arm  21 L Pull-ups; Post time to comments.; These are squat not power snatches.; Compare to 100712."
2032,"Snatch 1-1-1-1-1-1-1 reps; Michael Giardina 250lbs, Chuck Carswell 250lbs, Pat Barber 242lbs.  Post loads to comments.; Compare to 110419."
2033,"CrossFit Games Event 10; For time:  20 calorie Row  30 Wallball Shots, 20 pound ball  20 Toes to bar  30 Box jumps, 24"" box  20 Sumo-deadlit high-pull, 108 pound kettlebell  30 Burpees  20 Shoulder to overhead, 135 pounds  120 foot Sled pull, sled plus 165 pounds; Post time to comments.; Compare to 110805."
2034,Rest Day
2035,"Complete as many rounds as possible in 15 minutes of:  10 Wall ball shots, 20 pound ball  10 Toes to bar  10 Box jumps, 24"" box; Adrienne Briggs 10 rounds + 6 wall ball (20"" box, 14lb ball), Maggie Dabe 8 rounds + 8 toes to bar (20"" box, 14lb ball), Laura Dziak 7 rounds + 7 wall ball (20"" box, 14lb ball).  Post rounds completed to comments."
2036,"Deadlift 3-3-3-3-3 reps; Austin Malleolo 525lbs, Spencer Hendel 525lbs, Cole Dick (age 15) 425lbs, Candice Ruiz 310lbs, Alyssa Ross (age 17) 300lbs.  Post loads to comments.; Compare to 110630."
2037,"Santiago; Seven rounds for time of:  35 pound Dumbbell hang squat clean, 18 reps  18 Pull-ups  135 pound Power clean, 10 reps  10 Handstand push-ups; Rob Orlando 28:59, Kristan Clever 39:33 (as Rx'd), Rebecca Voigt 46:21 (as Rx'd), Katie Hogan 70:20 (as Rx'd).  Post time to comments."
2038,Rest Day
2039,Run 5K; Post time to comments.; Compare to 110816.
2040,"For time:  5 muscle ups  245 pound Deadlift, 10 reps  15 GHD Sit-ups  Sprint 50 yards  5 muscle ups  245 pound Deadlift, 10 reps  15 GHD Sit-ups  Sprint 100 yards  5 Muscle ups  245 pound Deadlift, 10 reps  15 GHD Sit-ups  Sprint 150 yards  5 muscle ups  245 pound Deadlift, 10 reps  15 GHD Sit-ups  Sprint 200 yards; Post time to comments.; Compare to 110731."
2041,Lynne; Five rounds for max reps of:  Body weight bench press  Pull-ups; Dave Lipson: 32/40-25/40-20/41-24/39-22/30 at 205lbs.  Austin Malleolo: 23/43-18/43-13/33-13/26-12/20 at 165lbs.  Spencer Hendel: 13/47-11/40-9/41-8/36-7/27 at 210lbs.  James Hobart: 16/46-13/45-10/40-9/22-8/27 at 175lbs.  Danny Nichols: 21/36-16/30-12/33-10/30-8/34 at 240lbs.  Post reps for both exercises in all rounds.; Compare to 110415.
2042,Rest Day
2043,"Split Jerk 1-1-1-1-1-1-1 reps; Max Mormont 400lbs, Spencer Hendel 330lbs, Josh Everett 325lbs, James Hobart 315lbs, Austin Malleolo 305lbs, Gillian Formaneck 154lbs.  Post loads to comments.; Compare to 101227."
2044,"Fight Gone Bad!; Three rounds of:  Wall-ball, 20 pound ball, 10 ft target (Reps)  Sumo deadlift high-pull, 75 pounds (Reps)  Box Jump, 20"" box (Reps)  Push-press, 75 pounds (Reps)  Row (Calories); In this workout you move from each of five stations after a minute.The clock does not reset or stop between exercises. This is a five-minute round from which a one-minute break is allowed before repeating. On call of ""rotate"", the athletes must move to next station immediately for best score. One point is given for each rep, except on the rower where each calorie is one point.; James Hobart 429. Add your points and post them to comments.; Compare to 110409."
2045,"Five rounds for time of:  35 Double-unders  Run 200 meters; Jesse Bazarnick 4:30, Tyler Hinz 5:15, Amy Power 5:38, Candice Ruiz 6:04.  Post time to comments.; Compare to 050804."
2046,Rest Day
2047,"For time:  15 foot Rope climb, 5 ascents  145 pound Clean and jerk, 5 reps  15 foot Rope climb, 4 ascents  165 pound Clean and jerk, 4 reps  15 foot Rope climb, 3 ascents  185 pound Clean and jerk, 3 reps  15 foot Rope climb, 2 ascents  205 pound Clean and jerk, 2 reps  15 foot Rope climb, 1 ascent  225 pound Clean and jerk, 1 rep; Post time to comments.; Compare to 110730."
2048,"Overhead squat 1-1-1-1-1 reps  Front squat 1-1-1-1-1 reps  Back squat 1-1-1-1-1 reps; Try to increase the load on each of the fifteen sets.; Pat Barber: OHS 265lbs, FS 330lbs, BS 370lbs.  Elyse Umeda: OHS 185lbs, FS 195lbs, BS 255lbs.  Duncan Martin (age 13): OHS 85lbs, FS 115lbs, BS 145lbs.  Jack Marks (age 13): OHS 85lbs, FS 115lbs, BS 145lbs.  Post loads to comments.; Compare to 110317."
2049,"Four rounds for time of:  Run 400 meters  95 pound Thruster, 15 reps  15 Pull-ups; Austin Malleolo 10:40, Jeremy Kinnick 12:22, Janece Katona 15:26 (65lbs).  Post time to comments."
2050,Rest Day
2051,"Tabata ""Bottom to Bottom"" Squat  Run 1 mile; Clock starts for run on rising from last squat.; The Tabata Bottom to Bottom Squat is a Tabata Squat but each rep begins at the bottom and ends at the bottom. The turn around at the top is immediate - no pause. The ten-second rest for each interval is also held at the bottom of the squat as opposed to the top. Interestingly, this squat, in contrast to the ""normal"" Tabata squat, motivates full hip extension. Also, the ten second rests don't seem as short with this protocol!; Dave Leys 15/6:55. Post Tabata score and mile time to comments.; Compare to 101223."
2052,Resting 60 seconds between sets:  Deadlift 2-2-2-2-2-2-2-2-2-2; Post load(s) to comments.; Compare to 101207.
2053,"For time:  25 Walking lunge steps  20 Pull-ups  50 Box jumps, 20 inch box  20 Double-unders  25 Ring dips  20 Knees to elbows  30 Kettlebell swings, 2 pood  30 Sit-ups  20 Hang squat cleans, 35 pound dumbbells  25 Back extensions  30 Wall ball shots, 20 pound ball  3 Rope climb ascents; Post time to comments.; Compare to 110423."
2054,Rest Day
2055,Thruster 3-3-3-3-3-3-3; Post loads to comments.; Compare to 110329.
2056,"Meadows; For time:  20 Muscle-ups  25 Lowers from an inverted hang on the rings, slowly, with straight body and arms  30 Ring handstand push-ups  35 Ring rows  40 Ring push-ups; Rob Orlando 19:37, Dusty Hyland 22:01, Kristan Clever 31:36, Rebecca Voigt 38:46.  Post time to comments."
2057,Front squat 3-3-3-3-3 reps; Connor Martin: 295-305-310(x2)-280-305lbs.  James Hobart: 245-275-285-295(x2)-300lbs.  Candice Ruiz: 155-165-175-185-195lbs.  Matt Ross (age 15): 115-145-165-200-205lbs.  Post loads to comments.; Compare to 110104.
2058,Rest Day
2059,"15-12-9-6-3 reps for time of:  135 pound Power clean  Bar-facing burpee; Jesse Bazarnick 4:42, Austin Malleolo 4:43, Matt Chan 4:57, Candice Ruiz 5:21 (95lbs), Chad Wittman 5:47.  Post time to comments."
2060,Weighted pull-ups 3-3-3-3-3 reps; Dave Lipson 105-115-135-145-155(x2)lbs at 205lb BW.  Post loads and body weight to comments.
